phv_id	PhenX_id	CDE_primary_name
phv00031235.v1.p1	PX090601040000	Intravascular diastolic
phv00033541.v1.p1	PX090601040000	Intravascular diastolic
phv00034134.v1.p1	PX090601040000	Intravascular diastolic
phv00034521.v1.p1	PX090601040000	Intravascular diastolic
phv00048942.v1.p1	PX090601040000	Intravascular diastolic
phv00049360.v1.p1	PX090601040000	Intravascular diastolic
phv00065901.v1.p1	PX090601040000	Intravascular diastolic
phv00020827.v1.p1	PX090601040000	Intravascular diastolic
phv00159290.v1.p1	PX090601040000	Intravascular diastolic
phv00051715.v1.p3	PX090601040000	Intravascular diastolic
phv00051716.v1.p3	PX090601040000	Intravascular diastolic
phv00051717.v1.p3	PX090601040000	Intravascular diastolic
phv00051718.v1.p3	PX090601040000	Intravascular diastolic
phv00051783.v1.p3	PX090601040000	Intravascular diastolic
phv00051784.v1.p3	PX090601040000	Intravascular diastolic
phv00051785.v1.p3	PX090601040000	Intravascular diastolic
phv00051786.v1.p3	PX090601040000	Intravascular diastolic
phv00051842.v2.p3	PX090601040000	Intravascular diastolic
phv00066516.v1.p1	PX090601040000	Intravascular diastolic
phv00073442.v1.p1	PX090601040000	Intravascular diastolic
phv00159583.v3.p2	PX090601040000	Intravascular diastolic
phv00076293.v1.p1	PX090601040000	Intravascular diastolic
phv00079855.v4.p3	PX090601040000	Intravascular diastolic
phv00079865.v4.p3	PX090601040000	Intravascular diastolic
phv00079866.v4.p3	PX090601040000	Intravascular diastolic
phv00083400.v1.p3	PX090601040000	Intravascular diastolic
phv00083411.v1.p3	PX090601040000	Intravascular diastolic
phv00085733.v2.p3	PX090601040000	Intravascular diastolic
phv00085741.v2.p3	PX090601040000	Intravascular diastolic
phv00086225.v2.p3	PX090601040000	Intravascular diastolic
phv00086233.v2.p3	PX090601040000	Intravascular diastolic
phv00086708.v2.p3	PX090601040000	Intravascular diastolic
phv00086716.v2.p3	PX090601040000	Intravascular diastolic
phv00087030.v2.p3	PX090601040000	Intravascular diastolic
phv00087038.v2.p3	PX090601040000	Intravascular diastolic
phv00087506.v1.p3	PX090601040000	Intravascular diastolic
phv00175588.v1.p3	PX090601040000	Intravascular diastolic
phv00175602.v1.p3	PX090601040000	Intravascular diastolic
phv00177022.v1.p3	PX090601040000	Intravascular diastolic
phv00177036.v1.p3	PX090601040000	Intravascular diastolic
phv00082599.v1.p1	PX090601040000	Intravascular diastolic
phv00090516.v2.p1	PX090601040000	Intravascular diastolic
phv00091513.v1.p1	PX090601040000	Intravascular diastolic
phv00091519.v1.p1	PX090601040000	Intravascular diastolic
phv00091543.v1.p1	PX090601040000	Intravascular diastolic
phv00093366.v1.p1	PX090601040000	Intravascular diastolic
phv00096783.v1.p1	PX090601040000	Intravascular diastolic
phv00096814.v1.p1	PX090601040000	Intravascular diastolic
phv00096842.v1.p1	PX090601040000	Intravascular diastolic
phv00096875.v1.p1	PX090601040000	Intravascular diastolic
phv00098087.v1.p1	PX090601040000	Intravascular diastolic
phv00161398.v3.p3	PX090601040000	Intravascular diastolic
phv00122562.v1.p1	PX090601040000	Intravascular diastolic
phv00123845.v1.p1	PX090601040000	Intravascular diastolic
phv00123855.v1.p1	PX090601040000	Intravascular diastolic
phv00123865.v1.p1	PX090601040000	Intravascular diastolic
phv00124247.v1.p1	PX090601040000	Intravascular diastolic
phv00124251.v1.p1	PX090601040000	Intravascular diastolic
phv00112476.v2.p2	PX090601040000	Intravascular diastolic
phv00116136.v2.p2	PX090601040000	Intravascular diastolic
phv00119239.v2.p2	PX090601040000	Intravascular diastolic
phv00124609.v1.p1	PX090601040000	Intravascular diastolic
phv00128371.v1.p1	PX090601040000	Intravascular diastolic
phv00099359.v1.p1	PX090601040000	Intravascular diastolic
phv00101776.v1.p1	PX090601040000	Intravascular diastolic
phv00101960.v1.p1	PX090601040000	Intravascular diastolic
phv00102464.v1.p1	PX090601040000	Intravascular diastolic
phv00102575.v1.p1	PX090601040000	Intravascular diastolic
phv00104011.v1.p1	PX090601040000	Intravascular diastolic
phv00104024.v1.p1	PX090601040000	Intravascular diastolic
phv00104688.v1.p1	PX090601040000	Intravascular diastolic
phv00104698.v1.p1	PX090601040000	Intravascular diastolic
phv00105426.v1.p1	PX090601040000	Intravascular diastolic
phv00106788.v1.p1	PX090601040000	Intravascular diastolic
phv00106795.v1.p1	PX090601040000	Intravascular diastolic
phv00107756.v1.p1	PX090601040000	Intravascular diastolic
phv00107775.v1.p1	PX090601040000	Intravascular diastolic
phv00108487.v1.p1	PX090601040000	Intravascular diastolic
phv00108831.v1.p1	PX090601040000	Intravascular diastolic
phv00110271.v1.p1	PX090601040000	Intravascular diastolic
phv00110338.v1.p1	PX090601040000	Intravascular diastolic
phv00197427.v1.p1	PX090601040000	Intravascular diastolic
phv00198947.v1.p1	PX090601040000	Intravascular diastolic
phv00174124.v1.p1	PX090601040000	Intravascular diastolic
phv00159338.v1.p1	PX090601040000	Intravascular diastolic
phv00179646.v1.p1	PX090601040000	Intravascular diastolic
phv00180539.v1.p1	PX090601040000	Intravascular diastolic
phv00163550.v1.p1	PX090601040000	Intravascular diastolic
phv00164739.v1.p1	PX090601040000	Intravascular diastolic
phv00171774.v1.p1	PX090601040000	Intravascular diastolic
phv00171775.v1.p1	PX090601040000	Intravascular diastolic
phv00171776.v1.p1	PX090601040000	Intravascular diastolic
phv00171777.v1.p1	PX090601040000	Intravascular diastolic
phv00171778.v1.p1	PX090601040000	Intravascular diastolic
phv00173312.v1.p1	PX090601040000	Intravascular diastolic
phv00173261.v1.p1	PX090601040000	Intravascular diastolic
phv00179600.v1.p1	PX090601040000	Intravascular diastolic
phv00200635.v1.p1	PX090601040000	Intravascular diastolic
phv00000541.v1.p9	PX021501030700	Body weight
phv00000552.v1.p9	PX021501030700	Body weight
phv00000632.v1.p9	PX021501030700	Body weight
phv00000646.v1.p9	PX021501030700	Body weight
phv00000679.v1.p9	PX021501030700	Body weight
phv00000746.v1.p9	PX021501030700	Body weight
phv00000829.v1.p9	PX021501030700	Body weight
phv00000915.v1.p9	PX021501030700	Body weight
phv00001037.v1.p9	PX021501030700	Body weight
phv00001189.v1.p9	PX021501030700	Body weight
phv00001366.v1.p9	PX021501030700	Body weight
phv00001563.v1.p9	PX021501030700	Body weight
phv00001807.v1.p9	PX021501030700	Body weight
phv00002022.v1.p9	PX021501030700	Body weight
phv00002206.v1.p9	PX021501030700	Body weight
phv00002427.v1.p9	PX021501030700	Body weight
phv00002670.v1.p9	PX021501030700	Body weight
phv00003244.v1.p9	PX021501030700	Body weight
phv00003302.v1.p9	PX021501030700	Body weight
phv00003668.v1.p9	PX021501030700	Body weight
phv00004084.v1.p9	PX021501030700	Body weight
phv00004526.v1.p9	PX021501030700	Body weight
phv00005541.v1.p9	PX021501030700	Body weight
phv00005921.v1.p9	PX021501030700	Body weight
phv00006033.v1.p9	PX021501030700	Body weight
phv00006328.v1.p9	PX021501030700	Body weight
phv00006671.v1.p9	PX021501030700	Body weight
phv00007098.v1.p9	PX021501030700	Body weight
phv00007569.v5.p9	PX021501030700	Body weight
phv00007676.v5.p9	PX021501030700	Body weight
phv00007678.v5.p9	PX021501030700	Body weight
phv00008713.v5.p9	PX021501030700	Body weight
phv00009100.v5.p9	PX021501030700	Body weight
phv00009552.v5.p9	PX021501030700	Body weight
phv00010108.v5.p9	PX021501030700	Body weight
phv00010498.v5.p9	PX021501030700	Body weight
phv00021229.v4.p9	PX021501030700	Body weight
phv00055259.v5.p9	PX021501030700	Body weight
phv00055291.v5.p9	PX021501030700	Body weight
phv00056838.v2.p9	PX021501030700	Body weight
phv00070552.v1.p9	PX021501030700	Body weight
phv00072335.v4.p9	PX021501030700	Body weight
phv00177537.v1.p9	PX021501030700	Body weight
phv00035240.v1.p1	PX021501030700	Body weight
phv00054548.v1.p1	PX021501030700	Body weight
phv00020423.v1.p2	PX021501030700	Body weight
phv00034789.v1.p2	PX021501030700	Body weight
phv00025689.v1.p1	PX021501030700	Body weight
phv00026032.v1.p1	PX021501030700	Body weight
phv00026033.v1.p1	PX021501030700	Body weight
phv00026469.v1.p1	PX021501030700	Body weight
phv00026683.v1.p1	PX021501030700	Body weight
phv00027263.v1.p1	PX021501030700	Body weight
phv00027317.v1.p1	PX021501030700	Body weight
phv00027384.v1.p1	PX021501030700	Body weight
phv00027428.v1.p1	PX021501030700	Body weight
phv00027431.v1.p1	PX021501030700	Body weight
phv00027434.v1.p1	PX021501030700	Body weight
phv00027437.v1.p1	PX021501030700	Body weight
phv00027444.v1.p1	PX021501030700	Body weight
phv00027447.v1.p1	PX021501030700	Body weight
phv00027450.v1.p1	PX021501030700	Body weight
phv00027453.v1.p1	PX021501030700	Body weight
phv00027460.v1.p1	PX021501030700	Body weight
phv00027463.v1.p1	PX021501030700	Body weight
phv00027466.v1.p1	PX021501030700	Body weight
phv00027469.v1.p1	PX021501030700	Body weight
phv00027476.v1.p1	PX021501030700	Body weight
phv00027479.v1.p1	PX021501030700	Body weight
phv00027482.v1.p1	PX021501030700	Body weight
phv00027485.v1.p1	PX021501030700	Body weight
phv00027492.v1.p1	PX021501030700	Body weight
phv00027495.v1.p1	PX021501030700	Body weight
phv00027498.v1.p1	PX021501030700	Body weight
